star1,star2,angsep,separation,lnL1/L2,group_id,group_size
354,1635,180.304,7.581,6.58,122,3
355,356,0.217,5.577,7.83,593,2
357,1812,202.403,6.701,8.89,594,2
358,1463,56.621,3.213,6.57,595,2
359,1316,113.081,9.852,6.50,596,2
360,7904,76.599,7.501,6.97,597,2
361,7369,1.087,5.964,8.09,598,2
362,3578,102.214,6.414,6.16,599,2
363,597,106.776,9.491,6.17,600,2
364,8114,197.388,8.067,6.76,601,2
365,5613,200.655,8.643,6.22,602,2
366,367,0.900,5.783,6.07,603,2
368,1369,193.513,9.331,6.05,604,2
369,5242,51.298,7.643,6.46,605,2
370,1196,274.493,8.745,6.61,123,3
370,1250,135.663,9.512,6.26,123,3
371,8837,89.659,3.734,6.03,606,2
372,10577,183.867,9.377,8.15,607,2
373,5297,2.699,0.059,9.24,608,2
374,3617,282.459,9.484,6.93,609,2
375,7164,0.376,2.374,6.63,610,2
376,784,206.967,8.061,6.71,51,5
377,10180,177.255,6.870,6.27,27,9
377,10542,157.646,6.229,7.09,27,9
377,782,193.143,7.492,6.19,27,9
378,2735,286.520,6.265,6.53,611,2
379,3625,556.303,8.647,6.01,124,3
380,381,1.303,8.723,6.30,612,2
383,7279,218.365,9.800,6.30,4,72
383,818,161.704,9.812,6.38,4,72
383,1145,155.150,7.030,6.50,4,72
384,1128,14.613,1.676,6.49,613,2
385,1127,75.735,8.214,6.69,125,3
385,1206,198.518,9.440,6.03,125,3
386,6999,365.484,8.406,7.14,2,118
386,460,84.810,6.497,8.53,2,118
387,465,128.848,8.749,6.35,614,2
388,9719,77.887,6.698,6.72,615,2
389,3097,84.087,8.174,6.28,616,2
390,5982,137.332,9.039,6.29,617,2
391,5436,239.227,9.366,6.54,0,151
391,6388,150.158,5.575,6.87,0,151
391,5411,230.849,9.122,6.80,0,151
391,6455,114.582,4.970,6.86,0,151
391,442,60.775,3.037,7.68,0,151
391,5947,214.783,9.840,6.42,0,151
391,5884,206.565,7.637,6.33,0,151
391,6166,227.163,9.465,6.67,0,151
391,6185,211.699,8.524,6.18,0,151
392,8661,194.014,9.941,7.03,618,2
393,1199,157.185,9.552,6.28,619,2
394,1204,171.471,8.719,6.29,4,72
395,9369,301.920,9.124,6.05,620,2
396,5041,177.957,9.618,6.91,621,2
397,529,53.911,8.590,6.59,622,2
398,9685,306.763,8.945,6.87,623,2
399,4981,120.416,3.559,7.26,624,2
400,911,77.512,6.806,6.36,625,2
401,404,28.293,8.458,6.23,626,2
402,2667,26.387,9.244,8.01,627,2
403,2493,249.553,9.949,6.59,628,2
405,4982,144.396,6.146,6.07,629,2
406,817,169.754,4.970,6.24,126,3
406,7800,252.667,7.429,6.01,126,3
407,3669,21.347,3.422,6.69,630,2
408,3544,0.110,4.462,6.61,631,2
409,6445,211.669,8.380,6.04,632,2
410,1378,207.712,8.948,6.39,127,3
411,415,7.664,0.645,6.10,633,2
412,433,24.623,6.188,6.06,634,2
413,10530,323.282,9.394,6.76,128,3
413,414,1.309,1.756,7.56,128,3
414,10530,324.351,9.463,6.47,128,3
416,1060,264.981,8.303,6.26,635,2
417,1662,68.908,6.227,6.71,636,2
418,9177,109.595,8.651,6.82,3,114
418,8403,237.214,8.260,7.06,3,114
419,741,93.749,6.862,7.26,637,2
420,2980,193.013,8.200,6.74,638,2
421,1541,187.209,8.926,6.41,639,2
422,10405,179.619,9.879,6.02,640,2
423,3807,73.963,7.642,6.29,641,2
424,3536,44.759,3.323,6.11,2,118
424,4049,183.487,3.750,6.27,2,118
424,3615,72.805,2.426,6.58,2,118
424,4422,175.767,2.588,6.82,2,118
424,4394,281.050,4.282,6.14,2,118
424,4179,422.281,6.289,6.28,2,118
424,7647,189.186,4.556,7.73,2,118
424,3730,216.588,4.620,6.89,2,118
424,614,139.353,2.509,7.28,2,118
424,3636,138.718,4.503,6.18,2,118
424,5271,214.949,3.211,6.89,2,118
425,8351,0.565,4.084,6.21,642,2
427,10290,172.702,9.816,6.19,643,2
428,808,181.013,8.750,6.92,644,2
429,4956,133.708,6.590,6.79,645,2
431,3428,95.184,7.835,6.46,646,2
432,9673,494.371,7.701,6.12,647,2
434,9075,65.885,6.980,6.42,648,2
435,4299,249.829,9.854,6.02,649,2
437,8772,104.318,9.250,6.19,650,2
438,5200,154.575,8.449,6.78,651,2
439,859,146.401,7.104,6.01,652,2
440,463,162.841,8.745,6.45,653,2
441,9294,118.157,7.047,6.14,654,2
442,6388,172.899,6.644,6.68,0,151
442,6455,106.048,6.112,7.25,0,151
442,6185,245.552,9.326,6.24,0,151
442,6232,206.678,8.127,6.43,0,151
443,1722,127.513,6.834,6.16,655,2
444,8847,152.846,9.025,6.20,656,2
445,6755,130.893,7.790,7.23,109,3
446,8302,216.835,9.760,6.04,24,10
448,2336,206.322,7.531,6.03,3,114
448,2195,272.519,9.191,6.36,3,114
448,2534,126.347,4.241,6.72,3,114
448,3249,267.380,9.220,6.23,3,114
448,7813,55.859,3.186,6.35,3,114
449,450,1.916,0.107,8.04,657,2
451,2923,0.530,2.896,7.67,658,2
452,5909,202.549,8.187,6.29,659,2
453,9389,1.910,0.009,7.28,660,2
454,3668,241.774,9.132,6.34,129,3
454,4282,122.274,4.285,6.69,129,3
455,4431,43.160,2.313,7.03,661,2
457,516,169.561,9.384,6.53,662,2
458,520,21.269,1.763,6.37,66,4
458,499,58.309,4.801,6.10,66,4
459,3301,438.162,8.807,6.18,663,2
460,5818,476.583,8.912,6.70,2,118
460,6999,398.899,4.593,6.54,2,118
461,5012,107.339,9.001,6.19,664,2
462,7440,236.536,8.897,6.44,12,23
462,4111,206.864,7.822,6.32,12,23
464,8056,127.554,4.576,6.99,665,2
467,671,121.444,9.199,6.37,666,2
468,702,197.307,9.660,6.02,667,2
469,470,0.250,7.706,7.18,668,2
471,1180,214.282,8.339,6.17,669,2
472,473,0.205,4.062,6.87,670,2
474,5295,77.001,5.257,6.23,671,2
475,3126,50.778,3.518,7.11,672,2
476,5315,2.044,3.717,6.19,673,2
477,1265,119.162,5.543,6.83,674,2
478,2051,126.996,5.900,7.09,4,72
478,1498,125.712,9.926,6.58,4,72
478,1514,113.860,6.021,6.34,4,72
479,4583,61.968,8.828,6.49,675,2
480,1623,77.204,5.982,6.95,34,7
480,492,37.090,9.253,6.65,34,7
480,538,77.309,8.726,6.32,34,7
481,482,0.113,2.702,8.92,676,2
483,4944,3.067,8.847,8.30,677,2
486,1914,314.228,9.466,6.70,19,13
486,550,69.918,3.622,7.79,19,13
486,1026,88.024,3.014,7.35,19,13
486,1689,169.025,7.677,6.19,19,13
486,973,24.631,1.163,7.55,19,13
486,1690,171.265,7.095,7.51,19,13
486,4082,118.968,4.001,7.63,19,13
486,1702,144.930,4.927,6.60,19,13
487,7767,26.984,8.402,6.67,43,6
487,7790,80.145,5.757,6.09,43,6
488,1436,39.460,7.603,6.60,678,2
490,10474,20.014,5.363,7.12,679,2
492,651,73.612,5.350,6.09,34,7
494,841,116.712,7.038,7.45,680,2
495,3162,1.630,0.101,6.70,681,2
496,8109,102.174,5.370,6.51,12,23
496,9059,218.322,8.731,6.57,12,23
496,10413,173.322,8.106,7.03,12,23
496,9070,193.118,8.446,6.80,12,23
496,9151,240.402,9.256,6.05,12,23
497,9504,271.846,8.320,7.63,682,2
498,10397,115.104,5.812,6.08,52,5
499,520,49.367,4.042,7.74,66,4
499,554,58.127,9.379,6.53,66,4
500,7076,231.401,8.047,6.77,683,2
501,5421,137.568,7.000,6.22,0,151
501,5458,253.150,9.949,6.25,0,151
501,3875,134.939,5.743,6.68,0,151
501,6222,242.869,9.522,6.23,0,151
501,5644,194.046,7.777,6.22,0,151
501,5948,158.691,6.414,7.04,0,151
501,5684,161.290,9.767,6.47,0,151
501,5686,188.670,9.681,6.57,0,151
501,715,137.224,5.743,6.90,0,151
501,5643,184.862,7.762,6.49,0,151
501,5435,129.100,9.755,6.66,0,151
501,5691,161.067,6.671,6.05,0,151
501,5692,169.501,6.887,6.64,0,151
501,5424,138.434,5.496,6.75,0,151
501,5695,161.021,6.638,6.05,0,151
501,804,146.400,8.649,6.06,0,151
501,5964,124.457,6.124,7.26,0,151
501,3883,231.159,9.055,6.63,0,151
501,6183,167.749,6.763,6.32,0,151
501,5884,77.388,8.105,7.12,0,151
501,5699,186.220,7.421,6.58,0,151
501,5370,162.926,6.389,6.42,0,151
501,5385,143.756,5.693,6.48,0,151
501,5249,160.822,6.395,6.31,0,151
501,5427,153.173,7.522,6.18,0,151
501,5345,117.087,5.447,6.82,0,151
501,5892,77.616,3.257,7.56,0,151
501,5925,125.220,6.668,7.84,0,151
501,5257,149.908,6.720,6.13,0,151
501,5420,122.239,4.790,6.87,0,151
501,5985,162.974,7.556,6.37,0,151
501,6253,245.585,9.621,6.01,0,151
501,3905,233.515,9.167,6.05,0,151
501,6256,243.508,9.595,6.49,0,151
501,6166,160.273,7.156,6.38,0,151
501,6167,163.875,6.429,6.70,0,151
501,6170,172.658,7.019,6.36,0,151
501,10371,191.806,8.899,6.26,0,151
501,5733,237.792,9.575,6.29,0,151
501,5371,164.157,8.225,6.44,0,151
501,5372,163.081,6.535,6.72,0,151
501,5375,120.344,4.715,6.12,0,151
501,5681,157.132,8.494,6.34,0,151
501,5377,109.917,4.610,6.64,0,151
501,6182,202.807,8.045,6.74,0,151
501,5380,133.498,5.232,6.73,0,151
501,5392,96.063,9.712,7.05,0,151
501,5284,41.092,5.907,6.50,0,151
501,5383,134.378,9.112,6.01,0,151
501,6187,179.041,7.134,6.37,0,151
501,5646,227.239,9.343,6.37,0,151
501,6190,186.720,7.356,6.46,0,151
501,5649,247.411,9.695,6.38,0,151
501,5291,74.233,2.989,6.14,0,151
501,5389,55.582,2.764,7.94,0,151
501,5390,82.081,3.251,6.03,0,151
501,5294,55.981,3.223,6.90,0,151
501,5875,43.953,4.131,8.00,0,151
501,5394,99.871,4.053,6.52,0,151
501,6093,191.959,7.642,7.65,0,151
501,5398,50.806,4.648,7.72,0,151
501,5399,64.787,4.367,7.43,0,151
501,4971,104.173,7.305,7.35,0,151
501,5402,72.334,7.319,7.23,0,151
501,6081,154.842,6.119,6.96,0,151
501,5668,216.849,8.502,6.48,0,151
501,10063,147.347,7.428,7.57,0,151
501,9088,76.468,3.315,6.71,0,151
501,5419,117.408,4.780,6.29,0,151
501,5411,84.104,5.728,6.17,0,151
501,6201,215.872,8.705,6.74,0,151
501,5219,193.134,7.573,6.61,0,151
501,3864,145.696,8.413,6.50,0,151
501,5357,100.713,5.388,6.71,0,151
501,5941,143.441,5.723,6.78,0,151
501,6185,177.783,8.211,6.05,0,151
502,1898,31.524,5.409,6.61,14,20
502,2504,74.209,5.421,6.21,14,20
502,2198,129.480,9.817,6.01,14,20
502,1928,57.526,6.606,6.06,14,20
502,1785,24.987,2.165,6.26,14,20
502,1783,26.365,3.447,6.44,14,20
502,1960,74.404,6.823,6.41,14,20
502,1848,11.166,7.490,6.71,14,20
503,2835,74.069,5.710,6.04,684,2
504,505,0.286,5.065,7.38,685,2
506,10495,52.754,8.547,6.32,686,2
507,589,93.516,4.397,6.54,687,2
508,8872,114.106,8.410,6.22,688,2
509,8390,136.418,7.884,6.36,689,2
510,6899,173.752,9.520,6.22,690,2
511,672,68.246,2.691,6.32,25,10
511,10505,241.452,7.913,6.82,25,10
511,2018,204.397,8.324,6.32,25,10
511,1770,170.800,6.736,6.80,25,10
511,1543,175.073,6.650,6.22,25,10
512,3252,0.392,7.208,6.13,691,2
513,1479,244.167,9.701,6.10,692,2
514,7859,302.271,8.212,7.48,693,2
515,3555,4.698,4.582,6.63,694,2
517,7212,70.108,8.692,6.63,695,2
518,1010,124.580,9.166,6.19,696,2
519,5796,27.185,2.182,6.09,697,2
520,554,8.855,8.429,6.42,66,4
521,1057,266.785,8.936,6.26,698,2
522,2422,129.232,6.034,6.24,699,2
523,556,15.283,8.638,8.05,700,2
524,4287,52.978,6.097,6.11,701,2
525,5096,334.761,6.724,6.18,702,2
526,2854,142.189,8.358,7.12,703,2
