id,size,mean_ra,mean_dec,mean_distance
610,2,151.462693,-59.405440,76.622
611,2,166.474222,48.635767,72.106
612,2,67.995854,-52.438917,197.649
613,2,198.960533,46.165160,162.736
614,2,31.607655,-5.395243,123.544
615,2,32.619914,42.674032,210.519
616,2,30.412990,-6.639394,207.491
617,2,301.727059,-67.223728,210.660
618,2,123.971991,-70.518679,144.939
619,2,243.615040,-26.300101,194.084
620,2,321.643009,67.920158,100.397
621,2,346.648338,33.040519,162.841
622,2,187.544570,47.220771,279.854
623,2,116.279004,69.840961,91.097
624,2,346.779624,38.652935,98.703
625,2,124.219397,-69.228703,124.544
626,2,80.802868,-77.411743,169.658
627,2,132.180105,-31.088498,91.296
628,2,245.562851,-73.772910,84.102
629,2,181.906263,-34.604973,142.165
630,2,349.749688,48.689906,283.832
631,2,130.050157,41.286108,175.642
632,2,182.996894,-49.646658,119.958
633,2,170.212777,-72.014784,285.873
634,2,297.355024,-19.320844,154.726
635,2,311.968369,-35.224209,106.765
636,2,267.533283,-69.591088,205.617
637,2,232.763748,-7.877228,151.690
638,2,189.035041,-3.659305,88.716
639,2,337.393858,-64.662326,156.660
640,2,126.837691,-68.367033,178.835
641,2,86.399064,26.358987,208.338
642,2,244.736673,-39.949937,131.188
643,2,62.394755,-43.505630,169.113
644,2,69.188406,17.840698,165.737
645,2,135.835278,71.291725,118.668
646,2,334.259671,60.904889,129.605
647,2,10.930861,65.287040,42.984
648,2,272.850435,-38.439923,170.290
649,2,280.498774,11.795496,132.960
650,2,286.813146,-61.350721,294.290
651,2,169.536485,5.175502,95.255
652,2,347.115940,73.619232,137.971
653,2,247.207002,-54.190850,130.134
654,2,348.458601,40.564293,187.563
655,2,330.853176,-67.291926,123.166
656,2,297.588000,-48.569005,145.952
657,2,359.783558,41.186168,41.362
658,2,103.049467,-56.512628,113.792
659,2,8.342054,20.646413,109.080
660,2,130.702524,9.552303,15.641
661,2,55.558760,4.264807,178.426
662,2,113.190014,33.944524,152.741
663,2,48.871063,-38.152239,60.698
664,2,190.561143,-36.450677,205.305
665,2,231.593758,-36.795553,122.606
666,2,253.572126,18.943749,247.867
667,2,47.464780,-36.337161,166.618
668,2,154.393070,-9.754463,89.494
669,2,48.925453,-36.691514,133.526
670,2,47.368536,-37.860564,155.661
671,2,168.478280,-48.468793,209.155
672,2,30.305526,-5.069064,206.305
673,2,182.281449,-51.163490,179.991
674,2,47.721362,-12.636701,151.157
675,2,315.063232,-35.776468,255.242
676,2,335.933334,40.903114,247.571
677,2,73.969254,30.559037,151.263
678,2,247.383355,-52.336507,473.715
679,2,22.877766,-67.008894,135.568
680,2,47.416676,-38.470010,198.644
681,2,330.519507,-67.327229,142.314
682,2,186.317865,13.493503,75.776
683,2,94.396590,-39.271620,112.069
