Title: Co-moving stars in Gaia DR1:
  An abundance of very wide separation co-moving pairs
Authors: Semyeong Oh, Adrian M. Price-Whelan, David W. Hogg,
  Timothy D. Morton, David N. Spergel
Table: Catalog of candidate co-moving pairs
================================================================================
Byte-by-byte Description of file: datafile1.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label      Explanations
--------------------------------------------------------------------------------
   1- 19 I19    ---     sourceid1  Gaia source id of star 1
  21- 39 I19    ---     sourceid2  Gaia source id of star 2
  41- 44 F4.1   pc      Sep        separation between star 1 and 2
  46- 49 F4.1   ---     lnL1/L2    natural log of likelihood ratio
  51- 53 I3     ---     NCC        size of the connected component that the pair belongs to
  55- 58 I4     ---     IDCC       unique id of the connected component that the pair belongs to
  60- 63 I4     ---     IDMWSC     id of the closest Milky Way star cluster
  65- 69 F5.1   pc      dMWSC      distance to the closest Milky Way star cluster
  71- 72 A2     ---     OBAssc1    [A-L]? id of the OB associations if matched for star 1
  74- 75 A2     ---     OBAssc2    [A-L]? id of the OB associations if matched for star 2
--------------------------------------------------------------------------------
5318077915210988928 5318296271349488640  2.9  6.7  36    9 1267  16.9 -- -- 
4791606562143607808 4815192838906057216  7.0  6.6   7   39  213  40.9 -- -- 
  66558249192653952   69945810158924672  6.4  6.4 151    0  228   6.5 -- -- 
  65819961494790400   66657411397616128  4.2  7.5 151    0  228   4.4 -- -- 
3953900747569804928 4008364334496501504  4.5  7.2  47    8 1605   5.2 -- -- 
 249197404128036480  442576794801933312  8.4  7.7 125    1  210   1.9 -- -- 
1921710789347145600 1921806103260218624  9.0  6.3   2 4197   87  62.3 -- -- 
 669956211743539072 3147969822605322880  8.4  6.2   2 4076  276  50.8 -- -- 
  65086587239103616   69945810158924672  7.4  6.2 151    0  228   6.1 -- -- 
 661396754238802816  665104341807795584  8.7  6.4  58    6 1195   6.6 -- -- 
5901656149880193536 5902211128373571840  7.8  7.0   2 4490 1720  69.7 -- -- 
1905741551184678016 1908101859051623040  6.9  7.7   2 2819 1803  71.6 -- -- 
  66558249192653952   70252676982016768  5.6  6.9 151    0  228   6.5 -- -- 
 336572706969808128  342052672923314048  9.2  6.3   2 3765  276  50.6 -- -- 
6680602207638894080 6680674088211471744  9.7  6.9   2 4521 2149 108.7 -- -- 
  66960258131598720   66969672699893248  1.1  6.9 151    0  228   7.4 -- -- 
 251154431747668096  442041985477060480  6.1  6.3 125    1  210  11.1 -- -- 
 435641144174237568  436493849800482048  4.2  7.8 125    1  210  13.1 -- -- 
5244676924123960704 5249607065541825920  7.8  6.6   8   30 1203  36.9 -- -- 
3830131541129126912 3830132434482323584  6.2  6.8   2 2795 1605  74.8 -- -- 
 441481165827089024  441815142481538048  5.7  6.4 125    1  210   2.4 -- -- 
5342155295715675520 6075389157549807232  9.1  6.1   2 2183 1720  66.4 -- -- 
  67618281484716544   69883412873314816  6.9  6.0 151    0  228   6.6 -- -- 
1099580038015811456 1102505391780628864  8.0  6.8   2 1331 1803  77.5 -- -- 
  91887973440342144 2586715762790322560  8.0  7.8   2 3775  276  31.1 -- -- 
6130245235768846592 6130245510646753152  1.2  7.5   2 3513 1720  71.6 -- -- 
 435609670653875328  441550125819632768  7.2  6.9 125    1  210  15.0 -- -- 
4799433470025717632 4806146572629030272  7.3  6.1   5   60  213  46.8 -- -- 
4697673668875243904 4704810667570976384  9.5  6.3   3  123 1203  52.1 -- -- 
 661156854545540480  661206573087872256  6.5  6.9  58    6 1195   4.8 -- -- 
 661206573087872256  661401358443742720  6.1  6.3  58    6 1195   3.1 -- -- 
  64879398017459072   65120465942548864  3.6  8.0 151    0  228   2.8 -- -- 
  69819400680743808   70347028823074688  6.1  6.3 151    0  228  12.2 -- -- 
  64899017426872960   65819961494790400  6.4  6.6 151    0  228   5.6 -- -- 
  69847610026687104   70234878637524480  5.7  6.8 151    0  228   5.2 -- -- 
 315377867997367936  327741670093720064  8.5  6.2 118    2  276  34.8 -- -- 
5239789148260273792 5245462112865217024  7.4  6.5  59    5 1459   7.6 -- -- 
  64899017426872960   66786500935624320  4.5  6.5 151    0  228   5.6 -- -- 
6140718152742581632 6141995819613868032  8.3  6.5   2  928 1578  72.1 -- -- 
2396646348792565888 2396646348792566016  4.6  6.5   2 2549  213 123.5 -- -- 
5239740804110817664 5239809557944885888  3.0  7.3  59    5 1459   2.0 -- -- 
  64449729487990912   65231482255770112  8.5  6.7 151    0  228   8.6 -- -- 
  66581957412169728   68317605236065408  6.4  6.7 151    0  228   6.5 -- -- 
 664323276234817664  664329186109826944  3.1  7.2  58    6 1195   5.5 -- -- 
  65437640685532288   69876712724339456  8.5  6.7 151    0  228   7.1 -- -- 
6845434462525549824 6845434462525549952  1.8  8.1   2 3793 1803  92.7 -- -- 
1672929000613408768 1674853386480061440  8.5  7.3   2 3071 1605  73.8 -- -- 
4726518497436239232 4742040406165460864  6.4  6.1  19   15  276  61.1 -- -- 
2430990968875610496 2444973389526413184  5.1  6.4   2 3594  276  72.1 -- -- 
6075548414943972608 6077388653810526592  6.7  6.1 114    3 1578  45.7 -- -- 
 435647638163950848  436461517287294464  8.2  6.8 125    1  210   3.6 -- -- 
  64930490947667840   65221483571888128  2.6  7.0 151    0  228   6.6 -- -- 
 249765198807892736  441415504364607360  4.3  6.6 125    1  210  10.0 -- -- 
5239883946781824256 5240861412615531136  6.5  6.2  59    5 1459   1.0 -- -- 
  51452746133437696   51619115986889472  3.5  6.9 151    0  228  10.7 -- -- 
   4724017349108352    4725151220474240  0.4 10.5   2  563  228  56.3 -- -- 
5251663495883800448 5253452057710889216  8.2  6.8  59    5 1459   4.4 -- -- 
  51742467447748224   64899017426872960  5.5  6.7 151    0  228   9.7 -- -- 
  65289275335247872   68306094723718528  2.2  6.5 151    0  228   3.9 -- -- 
5237676539747932032 5241132579670834816  7.4  6.9  59    5 1459  11.6 -- -- 
  64930490947667840   66555981449928832  2.5  6.9 151    0  228   6.6 -- -- 
4742962724622020224 4743679606203641856  8.6  7.3   2 3270  213 127.2 -- -- 
1868985324144247808 1868985324150840192  0.7  7.5   2 3154 1803  80.3 -- -- 
5317906150880166528 5318567953805446400  2.4  6.6  36    9 1267  16.2 -- -- 
6258677264863873536 6258677299223611648  0.7  6.3   2 2851 1605 101.4 -- -- 
5318499818442087936 5321517668619002240  5.8  6.8  36    9 1267  17.9 -- -- 
5239701565287189120 5239843196128730368  2.8  6.8  59    5 1459   3.7 -- -- 
 661207019764473344  661268248817325312  1.6  6.0  58    6 1195   3.9 -- -- 
 249180567856242048  436422244105716480  8.8  6.9 125    1  210   3.3 -- -- 
2487813180043047168 5151396625365348096  8.9  6.1   2  396  276  48.3 -- -- 
  47752477189229184  145293177350363264  3.8  6.3 118    2  276   6.7 -- -- 
2386641308375949440 2386641514534379520  1.1  6.5   2 2238  276  84.8 -- -- 
  65086587239103616   66798492484311936  4.1  6.2 151    0  228   6.1 -- -- 
6058311920906775168 6071169128847027456  7.0  6.8 114    3 1578  37.2 -- -- 
5461669735752455424 5461669976270623232  1.9  6.2   2 3825 1276  80.3 -- -- 
  66798492484311936   70252676982016768  5.2  6.3 151    0  228   2.5 -- -- 
  43789768566924416 3313689417734366720  7.3  6.4 118    2  276   7.9 -- -- 
  66657411397616128   69964879813013248  3.8  6.1 151    0  228   5.0 -- -- 
 506910560174381568  507289788607248640  3.1  6.1   2 2632  144  35.6 -- -- 
6045505565377957632 6045625171630755712  7.7  6.4  72    4 2132  74.4 -- -- 
1871980668701914880 1871981871292751872  0.8  7.4   2 1302 1803 102.3 -- -- 
5967756486839384192 5967756486839741952  5.9  6.7   2 1706 2149  56.1 -- -- 
  45789299177700352 3311000115371733504  2.7  6.0 118    2  276   3.8 -- -- 
6059507983396911744 6071087593186508288  6.7  7.0 114    3 1578  40.6 -- -- 
 635157046680902016  641073450030467712  8.8  6.1   2 2633 1803  51.3 -- -- 
3709410868115736192 3710710181622308224  9.3  6.1   2 3713 1605  77.7 -- -- 
  65086587239103616   65194648616227840  1.3  7.1 151    0  228   6.1 -- -- 
  65188085906203520   66581957412169728  5.4  6.7 151    0  228   6.2 -- -- 
 248886001820685184  249199878029198208  5.3  7.5 125    1  210  10.1 -- -- 
5863352463301565952 6060057498696084736  8.2  6.2 114    3 1578  35.4 -- -- 
  61572651156172416   63267995006789504  6.6  6.1   2 3094  228  37.5 -- -- 
1374394310723876480 1376446961494367360  5.8  6.0   2 2499 1605  63.7 -- -- 
4783712480973034752 4783745775559512448  3.1  6.3   2  858  991 128.3 -- -- 
3236343791243512064 3338584937967804032  9.9  7.0   6   45  402  11.5 -- -- 
  66745612851296256   68254245878512384  8.0  6.8 151    0  228  10.9 -- -- 
  51742467447748224   66745612851296256  9.6  8.3 151    0  228   9.7 -- -- 
2230258113154384128 2231008907797467136  1.1  6.7   2  907  286  81.7 H  H  
1706019799484308992 1706654389491915904  1.8  6.6   2 4368  286  83.6 -- -- 
  98753358403233408  288861014790286976  6.7  6.3   5   50  276  30.0 -- -- 
5997089773439760256 6010666371222631680  7.0  6.3  47    7 2149 100.3 -- -- 
1471129068857687040 1471129275016117120  0.7  8.5   2 2926 1605  32.3 -- -- 
  63144712265008512   64899017426872960  7.6  6.4 151    0  228   9.8 -- -- 
5538534016672382464 5538816247560408448  5.6  6.5   3  231  991  18.0 -- -- 
5609465882599235840 5612839596590513664  9.2  6.1   2 3658  402  74.6 -- -- 
  64449729487990912   69945810158924672  9.2  6.2 151    0  228   8.6 -- -- 
 145373372976256512 3410640882737635200  9.9  6.6 118    2  276   8.6 -- -- 
4003406533487752832 4008227720176880384  3.7  7.5  47    8 1605   3.9 -- -- 
  64380632054140416   66558249192653952  6.3  6.8 151    0  228   7.5 -- -- 
  63144712265008512   65086587239103616  9.2  6.6 151    0  228   9.8 -- -- 
5910645894390858624 5912754929487204992  9.2  6.2   2 1974 2149  56.0 -- -- 
  46208419266609408 3312223287698072576  9.5  6.4   2 2312  228  65.4 -- -- 
  65207705316826752   66786500935624320  5.4  7.6 151    0  228   2.0 H  H  
5381044644031871104 5397046111628224384  7.2  6.5   4   83 1578  73.3 -- -- 
 251154431747668096  443683693773493504  5.6  6.5 125    1  210  11.1 -- -- 
5359874853312269312 5359892101903009792  3.9  6.4   2 2951 1462  83.5 -- -- 
  65207705316826752   65819961494790400  3.9  7.0 151    0  228   2.0 -- -- 
2143522726082237056 2155746340444188544  8.6  6.3   2 3434 2905 128.9 -- -- 
4774023584509583744 4775933230048901888  6.1  6.5   2 4493  213  50.5 -- -- 
  64109911675780224   65194648616227840  4.7  6.5 151    0  228   5.1 H  H  
  45789299177700352 3307504218151520256  4.3  6.3 118    2  276   3.8 H  H  
  66789868189090816   69948249699646720  4.3  7.5 151    0  228   2.8 H  H  
  65437640685532288   66786500935624320  7.3  6.6 151    0  228   7.1 H  H  
3310500078099136768 3312281664893305728  2.7  7.0 118    2  276   5.2 H  H  
 441519064618374656  441696326507978752  2.4  6.4 125    1  210   9.2 H  H  
  65221483571888128   68310561489710336  3.7  7.0 151    0  228   5.6 H  H  
 500350633284714240  500381969364820480  3.2  6.0  13   20  286  12.8 H  H  
  50327292903510144   52548237672091392  4.6  6.2 118    2  276   6.0 H  H  
1886648085091041280 1910653688100855936  2.6  7.1   2 3407   87  97.1 H  H  
4852614717157445248 4854226738643349888  8.7  6.6   2  919  213  32.5 H  H  
3312783557591565440 3313689417734366720  2.6  6.4 118    2  276   1.9 H  H  
  45142202225515008   45159897490770816  0.3  6.6 118    2  276   6.7 H  H  
5221058795884435328 5270921716922851584  9.9  7.0   2  618 1267  33.5 -- -- 
3282434975081331456 3282435559196883328  6.5  6.4   3  305  228  72.2 H  H  
4388472307446725376 4388472307449286912  4.8  7.7   2 1598 2132  39.6 H  H  
 660957980380034688  664424637463005824  9.9  6.2  58    6 1195   9.6 H  H  
 507980488066349440  507980488066349952  5.6  6.4   2 2879  210  50.8 H  H  
  63502259702709888   65207705316826752  6.5  6.6 151    0  228   7.1 H  H  
  64879398017459072   69948249699646720  7.6  6.2 151    0  228   2.8 H  H  
5969286766508518656 6017438057177825536  4.9  6.0  25   11 2149  59.8 H  H  
4659732271379516416 5282996656699996800  9.5  8.2   2 2387 1267  69.2 H  H  
  65063703653090176   69819022723623296  4.7  6.0 151    0  228   6.0 H  H  
6411101393591451520 6411101393591451648  0.4  6.9   2 1814    6 141.9 H  H  
  66471215975411200   66581957412169728  8.3  6.6 151    0  228   4.6 H  H  
  64380632054140416   65188085906203520  3.8  7.2 151    0  228   7.5 H  H  
5344333496978434688 6075374898258416000  6.6  7.0 114    3 1578  47.9 H  H  
5861485526917386368 5862028926180779264  7.5  7.2 114    3 1578  26.9 H  H  
 441401932267956096  441558440876307584  5.3  6.6 125    1  210  13.0 H  H  
  64952824777149440   64979728452744192  0.9  7.0 151    0  228   5.5 H  H  
  65221483571888128   66729257611496704  6.6  6.4 151    0  228   5.6 H  H  
  66724447247218048   70190245337962368 10.0  6.9 151    0  228  13.9 H  H  
 660953994650380416  661323636715553152  5.7  6.2  58    6 1195  12.6 -- -- 
 564695874808233856  564823418156573568  1.8  6.4   7   36  286  48.4 -- -- 
  64952824777149440   65199974375696512  4.8  7.5 151    0  228   5.5 H  H  
  65221483571888128   66506331628024832  7.4  6.8 151    0  228   5.6 H  H  
2321836745869671168 2322947836729389696  7.2  7.7   2 4186    6  28.1 H  H  
3959212282084332544 4008790017295714688  7.5  6.1  47    8 1605   5.0 H  H  
  65289275335247872   69819022723623296  6.6  6.3 151    0  228   3.9 H  H  
  64952824777149440   66507465499396224  6.1  7.2 151    0  228   5.5 H  H  
3306303998130681728 3312602344331419136  5.9  6.3 118    2  276   4.5 H  H  
2662504721335579776 2716010049519652864  8.7  8.4   2 1214 1803  69.2 H  H  
5574232273005490048 5575077694367896832  4.0  7.4   2 1080  991  57.3 H  H  
  69811635379765760   69819022723623296  1.6  7.0 151    0  228   1.7 H  H  
  64929391436043264   68322140721525760  5.8  7.4 151    0  228  10.2 H  H  
 441358776436543488  441486044909931136  3.3  6.2 125    1  210   3.1 H  H  
  64317994252099840   65199974375696512  6.1  7.0 151    0  228   7.1 H  H  
4697171466939602304 4700185022152457600  4.6  6.0   2  564 1203 130.4 H  H  
5239843196128730368 5239891677722958976  4.3  6.9  59    5 1459   5.2 H  H  
  63502259702709888   64808204638390912  9.1  7.1 151    0  228   7.1 H  H  
5602234463347810304 5602234463347810432  0.2  6.8   2 2163  991  44.1 H  H  
6010573737369226752 6011053949074863744  8.0  6.4  47    7 2132 103.9 H  H  
  69250231614573056   69811635379765760  6.9  6.7 151    0  228   8.4 H  H  
5239801689564803072 5239869103371472000  1.4  6.5  59    5 1459   3.3 H  H  
  64671899556831360   69819022723623296  7.0  6.4 151    0  228   7.6 H  H  
6478345360082239232 6479687073505741184  4.1  7.0   3  247 2149 123.0 H  H  
5861209412059805952 6053499599027904640  8.7  6.8 114    3 1578  27.5 H  H  
 242888956163684096  435242914806781184  5.9  6.2 125    1  210   8.0 H  H  
  65194648616227840   69945810158924672  7.6  6.3 151    0  228   4.9 H  H  
6434969488930044416 6435217325720339072  6.3  6.7   2 3899 2149  92.7 H  H  
3184351872093838592 5153091831776839040  5.7  7.0   2  496 1803  31.9 H  H  
3159844067149668864 3160136021845864192  3.7  6.2   2 2211 1195  92.4 H  H  
  51452746133437696   64053561704835584  6.9  6.2 151    0  228  10.7 H  H  
5239891677722958976 5239895629092870144  3.4  6.3  59    5 1459   1.9 -- -- 
2187035005397082240 2187035039756200320  1.6  6.9   2 3301 1803  88.8 -- -- 
6334041502683758720 6337314645719906816  3.6  6.3   2 1397 1605  96.4 H  H  
5942389104319497600 5984075747654924416  9.7  6.1   2 3143 2149  61.3 H  H  
 851054023174785152  851062853627545216  4.3  7.2   2 1336 1605  92.3 H  H  
6108723944924367616 6111637856894085888  6.3  6.4  22   13 1578  81.3 H  H  
4778899781139308032 4779621851042377344  9.2  6.5   3  107  863 147.4 H  H  
  51914884614495744   53092221049821568  3.8  7.3   9   29  228  18.2 H  H  
3307645127438373888 3310820620098473728  5.2  8.3 118    2  276   3.0 H  H  
5144258492798069888 5144470973419881728  2.4  6.6   2 4028  213  49.7 H  H  
  63378976961208704   64956123312029952  5.6  6.1 151    0  228   9.0 H  H  
4682914786856820224 4683283741727336832  7.8  6.2   2 4312  213 162.6 H  H  
5239891677722958976 5241132579670834816  4.7  6.5  59    5 1459   1.9 -- -- 
 249164418780724224  441463607998311808  5.0  6.8 125    1  210   2.3 -- -- 
  64109911675780224   69948249699646720  8.1  6.3 151    0  228   5.1 -- -- 
4813061676134636928 4813061847933328896  1.5  7.5   2 3357  213  48.9 -- -- 
  51619115986889472   66798492484311936  9.6  6.4 151    0  228   9.9 H  H  
 441560399381392768  441585722510785408  3.2  6.9 125    1  210   4.2 H  H  
 249164418780724224  441645233577061248  5.3  7.3 125    1  210   2.3 H  H  
4008681509241392256 4008744250123486720  7.9  6.4  47    8 1605   5.9 H  H  
3960008294143258240 4009295139808743936  6.8  6.5  47    8 1605   3.5 H  H  
  65017627244152064   70049473488842112  9.1  6.8 151    0  228  11.2 H  H  
 662794164798230016  664452949887595136  8.0  6.6  58    6 1195   9.7 H  H  
6110115067652803712 6111042814946452608  4.9  6.2  22   13 1578  89.8 H  H  
5273400016131755392 5276136425695756672  7.8  6.0   2 1133 1197  49.7 H  H  
 664329186109826944  664452949887595136  1.3  6.2  58    6 1195   2.8 H  H  
3404812680839290368 3405113740864365440  0.9  6.5 118    2  276   5.6 H  H  
